# Расписание ШКИ на неделю.
# Формат: day,time,order,group,studio
#   day   = MONDAY..SATURDAY
#   time  = время начала (HH:MM); у среды и субботы своё
#   order = номер занятия в дне (1-5 утро, 6-10 день)
#   group = номер группы (1..13)
#   studio= код студии (АМ из таблицы = Анимация = АН)
day,time,order,group,studio
TUESDAY,15:20,6,7,ВР
TUESDAY,16:10,7,11,ФВ
TUESDAY,16:10,7,7,ЗВ
TUESDAY,16:10,7,10,ДЗ
TUESDAY,16:10,7,9,АН
TUESDAY,16:10,7,6,ВР
TUESDAY,17:00,8,8,ФВ
TUESDAY,17:00,8,10,ЗВ
TUESDAY,17:00,8,7,ДЗ
TUESDAY,17:00,8,6,АН
TUESDAY,17:00,8,11,ВР
TUESDAY,17:50,9,13,ФВ
TUESDAY,17:50,9,9,ЭЛ
TUESDAY,17:50,9,11,ЗВ
TUESDAY,17:50,9,12,ДЗ
TUESDAY,17:50,9,7,АН
TUESDAY,17:50,9,10,ВР
TUESDAY,18:40,10,12,ФВ
TUESDAY,18:40,10,10,ЭЛ
TUESDAY,18:40,10,13,ДЗ

# --- Среда (только день, своё время) ---
WEDNESDAY,15:00,6,8,ФВ
WEDNESDAY,15:00,6,6,ЭЛ
WEDNESDAY,15:00,6,12,ЗВ
WEDNESDAY,15:00,6,9,ДЗ
WEDNESDAY,15:00,6,10,АН
WEDNESDAY,15:50,7,10,ФВ
WEDNESDAY,15:50,7,8,ЭЛ
WEDNESDAY,15:50,7,6,ДЗ
WEDNESDAY,15:50,7,12,АН
WEDNESDAY,16:40,8,9,ФВ
WEDNESDAY,16:40,8,7,ЭЛ
WEDNESDAY,16:40,8,8,ДЗ
WEDNESDAY,16:40,8,11,АН
WEDNESDAY,16:40,8,12,ВР
WEDNESDAY,17:30,9,12,ЭЛ
WEDNESDAY,17:30,9,6,ЗВ
WEDNESDAY,17:30,9,13,ДЗ
WEDNESDAY,17:30,9,7,АН
WEDNESDAY,18:20,10,11,ЭЛ
WEDNESDAY,18:20,10,12,ДЗ

# --- Четверг ---
THURSDAY,09:00,1,4,ЗВ
THURSDAY,09:00,1,2,АН
THURSDAY,09:00,1,5,ВР
THURSDAY,09:50,2,4,ФВ
THURSDAY,09:50,2,5,ЗВ
THURSDAY,09:50,2,1,АН
THURSDAY,09:50,2,3,ВР
THURSDAY,10:40,3,5,ФВ
THURSDAY,10:40,3,1,ЗВ
THURSDAY,10:40,3,3,АН
THURSDAY,10:40,3,2,ВР
THURSDAY,15:20,6,13,ФВ
THURSDAY,15:20,6,8,ЗВ
THURSDAY,15:20,6,6,АН
THURSDAY,15:20,6,9,ВР
THURSDAY,16:10,7,10,ФВ
THURSDAY,16:10,7,9,ЗВ
THURSDAY,16:10,7,11,ДЗ
THURSDAY,16:10,7,13,АН
THURSDAY,16:10,7,8,ВР
THURSDAY,17:00,8,7,ФВ
THURSDAY,17:00,8,11,ЭЛ
THURSDAY,17:00,8,12,ЗВ
THURSDAY,17:00,8,9,ДЗ
THURSDAY,17:00,8,8,АН
THURSDAY,17:00,8,13,ВР
THURSDAY,17:50,9,10,ЭЛ
THURSDAY,17:50,9,13,ЗВ
THURSDAY,17:50,9,8,АН
THURSDAY,17:50,9,12,ВР
THURSDAY,18:40,10,13,ЭЛ

# --- Пятница ---
FRIDAY,09:00,1,3,ЭЛ
FRIDAY,09:00,1,1,АН
FRIDAY,09:50,2,2,ФВ
FRIDAY,09:50,2,3,ЭЛ
FRIDAY,09:50,2,5,АН
FRIDAY,10:40,3,1,ФВ
FRIDAY,10:40,3,2,ЭЛ
FRIDAY,15:20,6,13,ЗВ
FRIDAY,16:10,7,7,ВР
FRIDAY,17:00,8,9,ЭЛ
FRIDAY,17:00,8,6,ВР
FRIDAY,17:50,9,12,ЭЛ
FRIDAY,17:50,9,13,ВР
FRIDAY,18:40,10,13,ЭЛ

# --- Суббота (только утро, до 13:00) ---
SATURDAY,09:00,1,4,ДЗ
SATURDAY,09:00,1,1,ВР
SATURDAY,09:00,1,5,ЭЛ
SATURDAY,09:00,1,2,ЗВ
SATURDAY,09:50,2,1,ДЗ
SATURDAY,09:50,2,5,ВР
SATURDAY,09:50,2,4,ЭЛ
SATURDAY,09:50,2,3,ЗВ
SATURDAY,10:40,3,5,ДЗ
SATURDAY,10:40,3,3,ВР
SATURDAY,10:40,3,1,ЭЛ
SATURDAY,10:40,3,4,ЗВ
SATURDAY,11:30,4,2,ДЗ
SATURDAY,11:30,4,4,ВР
SATURDAY,11:30,4,5,ЗВ
SATURDAY,12:20,5,4,ЭЛ
